datetime,gt_x,gt_y,Vel_GT,odom_x,odom_y,rpe_odom,vel_odom,pred3_x,pred3_y,rpe_pred3,inf_pred3,pred1_x,pred1_y,rpe_pred1,inf_pred1,predw_x,predw_y,rpe_predw,inf_w
2024-11-28 14:44:27.061197056,0.0020017036207906173,6.521840320156028e-07,0.0200169863810277,-0.00032724282610120816,-1.0662045247766036e-07,0.002328946570506568,-0.0032724201152065,0.003193221148521705,1.040397700303816e-06,0.001191517590973904,0.031932131998803355,0.002003638000181786,6.52814280838494e-07,1.9343794938406265e-06,0.02003633012678836,0.004937606829045594,1.6087438204277365e-06,0.0029359033640854897,0.04937594538238261
2024-11-28 14:44:27.102798080,0.002798233035528616,1.1293063929639187e-06,0.0191468738366678,-0.000463379250057753,-1.881663826183228e-07,0.0009326660060161171,-0.003272430227738,0.005605019955647392,2.4850689449516306e-06,0.0016152696821693075,0.057974516226310155,0.004331157988336783,2.0470023815606593e-06,0.0015309908480788778,0.055948632581490895,0.006844293734972065,2.750852248958416e-06,0.0011101576903523004,0.04583269990827503
2024-11-28 14:44:27.202797824,0.0045037553703655715,4.805251584907371e-06,0.017055313982584,-0.0007906288845872238,-8.934938333601859e-07,0.0020327766908816683,-0.0032725137358694,0.002991321476002635,-3.1482858128202995e-06,0.004319230846726952,-0.026137123692610734,0.00330505137951124,-1.6458498853041653e-07,0.002731635288411387,-0.010261120617219678,0.011713708534030899,1.3245995908211512e-05,0.0031638998129883507,0.048694406759163866
2024-11-28 14:44:27.212825088,0.004674772043029719,5.511768869669556e-06,0.017055313982584,0.00023955978693617104,3.3625011620918393e-06,0.0008591793307661749,0.1027396392434666,0.0036068496135197563,-6.053684373468256e-07,0.00044451525817572286,0.06138597767649387,0.004009643165555804,2.7462790096223404e-06,0.0005335796667446728,0.0702682022362778,0.013274332780220575,1.9693367312269426e-05,0.001389619432004865,0.1556394245832989
2024-11-28 14:44:27.312825088,0.028580230881693796,0.00011838701663623883,0.2390572551963331,0.010512757823670628,5.186982250561459e-05,0.013632412765236343,0.1027331264095218,0.02268866577093634,8.949391562746753e-05,0.004823696451983168,0.19082029027508807,0.023982723594129625,9.705387700437696e-05,0.003932422245609189,0.199733032412997,0.028798772570862177,9.29956619735914e-05,0.00838111247400564,0.155246129758826
2024-11-28 14:44:27.365086976,0.0471369697202868,0.00023831317047471958,0.3550796610712886,0.023950528046521723,0.00013871375090321794,0.00511907551444504,0.2571291721991815,0.0402076878151086,0.00020271364410689454,0.0010377384649149128,0.33522314798157593,0.041193058409858145,0.0002082786605547237,0.0013464321396307194,0.32931647669594666,0.044967664709094454,0.00019748994099716085,0.0023878965654282286,0.3093886695436754
2024-11-28 14:44:27.461105152,0.0906096656533176,0.000512879836133536,0.4527641001297968,0.061383982087739354,0.00037513752080289907,0.006039362342857715,0.389865955399477,0.089085540063182,0.0005114184213995547,0.005405264119421998,0.5090583023299808,0.09169877148337927,0.0005272647491258084,0.007033157412113173,0.5260123219956989,0.08739448219830248,0.00046545100397039235,0.0010458993035851877,0.44187137304445456
2024-11-28 14:44:27.561104896,0.14605898811148185,0.0007368445756797725,0.5544992018113203,0.10036079542414728,0.0005325683325827383,0.016472643489430876,0.3897723349188519,0.13480274128555284,0.0006960742586692775,0.009732200621543903,0.4571769403670979,0.13743107188962428,0.0007119815733406159,0.009717101314504381,0.45732793383347514,0.13156578433223828,0.0006438628174836962,0.011278112320010825,0.4417177828406048
2024-11-28 14:44:27.613299968,0.17500098841475048,0.0008216582382237448,0.5544992018113203,0.13029047442903596,0.0006202763578944289,0.0009876829425325144,0.5734221181942802,0.16988728210310017,0.0007988884516839054,0.006142566889228999,0.672184012003122,0.17119475665066491,0.0008109250373568383,0.004821705161206935,0.6468777573778015,0.16411433874915388,0.0007392453785259138,0.0036065695995334958,0.6235970995499474
2024-11-28 14:44:27.711069184,0.23345409510341128,0.0008744852755866601,0.5978686929575087,0.19750896497134618,0.0006810251172421717,0.008765387433279656,0.6875225862187342,0.23800907521279205,0.0008604535713789477,0.009668690369554383,0.6967617243227557,0.23816510397633367,0.0008714495370934249,0.008517244115300825,0.684984533598368,0.2364946798968834,0.000804659164084268,0.01392724014670892,0.740318905345817
2024-11-28 14:44:27.811068928,0.2976762732325894,0.0006640401834205425,0.6422276250372043,0.2662094480487613,0.0004559053857998203,0.004478328991313837,0.6870110820123567,0.3173876034370461,0.0006003437125298223,0.015156431466329967,0.7937925051042451,0.3160194420538642,0.0006163341886338527,0.013632233136550294,0.778550464946927,0.31018422266802703,0.0005631911374321664,0.009467415470253942,0.736902132917346
2024-11-28 14:44:27.862853120,0.33366618006361554,0.0004669233331243926,0.6950083887755267,0.30514835590315714,0.00024263684619877794,0.0029490452544684684,0.7519571455303695,0.3621249076766164,0.00035531733488878685,0.008747528607887793,0.8639311539117362,0.35917543841550625,0.0003799686399777092,0.0071661970124415105,0.8333941968266037,0.351714917075382,0.0003357273734767562,0.005540870680783693,0.8020076612118747
2024-11-28 14:44:27.961347072,0.4120068421387415,3.15497237920124e-05,0.7953978282818084,0.3862499641849581,-0.000208080558850058,0.0027609888424656765,0.8234298943713982,0.4427307670776141,-9.264497499183587e-05,0.0022652323060820705,0.8183965237983246,0.43935171552792746,-6.560629166881774e-05,0.0018356433836999274,0.8140349469319661,0.4379793403560394,-0.0001436820714505782,0.007923883567866313,0.8758482902482827
2024-11-28 14:44:28.061347072,0.4896209717769299,-0.0005300559754671117,0.7761617851351221,0.46866455371345306,-0.0008044217585396929,0.0048005855594325676,0.8241676512744318,0.5251543731545865,-0.0006890514172479485,0.004809602343950175,0.8242578191394143,0.5218255072214596,-0.000662375870487979,0.004859789274297155,0.824759688553125,0.5253342358771447,-0.0007757706796915654,0.00974102088213839,0.8735720153536688
2024-11-28 14:44:28.112404224,0.5287463209036718,-0.0009053734142807012,0.766340409346933,0.5090944248533043,-0.0011922530757406706,0.0013045820326216275,0.791891821815864,0.5697506052131717,-0.0011168493531269297,0.005471134640685271,0.8734975021027483,0.5676893383666942,-0.0011023334944786898,0.006738792048066882,0.898325712575809,0.5684043589900512,-0.001188929121901437,0.003944955480542076,0.843605910583631
2024-11-28 14:44:28.211174912,0.6025562471806499,-0.0017999549582207292,0.7473408371869742,0.5805942617911911,-0.0020588361729697684,0.0023102590044411296,0.7239507027194961,0.6443090044356762,-0.002020502442277473,0.0007485279173935468,0.7549192812518343,0.6407365533518824,-0.001987670923441154,0.0007627673093975506,0.7396182269082531,0.6450057326416692,-0.0021173432060998284,0.002791652393505361,0.7756048217640384
2024-11-28 14:44:28.311175168,0.6795099141941221,-0.0029211834922763455,0.7696165422127804,0.6529878154219315,-0.0031136230487954697,0.004560597390399468,0.7240106753331438,0.7195031576299366,-0.0031160945488991616,0.0017597005729410686,0.7520195777785793,0.7156946266206828,-0.00307982330380916,0.001995805555781008,0.7496585334908977,0.7230416340379305,-0.0032543400864553924,0.0010823492504899337,0.7804400093179956
2024-11-28 14:44:28.362621184,0.7196879821721014,-0.0035678582502900458,0.7810764756470399,0.6917511583784914,-0.0037375274993522827,0.0014149082560829963,0.7535736988996465,0.7585287345086443,-0.0037442197115678884,0.0011526403694941346,0.7586716231656571,0.7541152151734944,-0.0036982110475590763,0.001757707053255419,0.7469104267423351,0.7643348214961562,-0.0039189629354634105,0.0011152639101105857,0.802754810056587
2024-11-28 14:44:28.461179904,0.7958898699157252,-0.004867299740273362,0.7732747585613237,0.7713083815974707,-0.0050941862349786335,0.0033558232917390695,0.8073237343337764,0.8404008179459573,-0.005140352868370458,0.005671020056671,0.8308142675664653,0.8381224620563567,-0.005130754325569889,0.007806493923552979,0.8524812898245085,0.8556935509268779,-0.0054768682185168905,0.015159045268752254,0.9270820124652613
2024-11-28 14:44:28.561180160,0.8724134026630033,-0.006253444326108883,0.7653589322822162,0.8520239933246838,-0.006556265992294309,0.004192766667044584,0.8072864933466243,0.9231921118822007,-0.006640031460353955,0.0062687893801316825,0.828046668187313,0.9215103516679113,-0.0066412396306725595,0.006865482923626534,0.8340135885929393,0.9491217634555994,-0.00716922358047689,0.016907452899610723,0.9344330354189204
2024-11-28 14:44:28.613114112,0.9121547910524993,-0.006984604749712185,0.7653589322822162,0.8965160872144559,-0.007374829699646862,0.004751509453254092,0.8568503229111237,0.968616637365193,-0.0074757500056804186,0.005684098840123358,0.874807542765121,0.9673007696710159,-0.007483689851484959,0.006050053279540362,0.8818540783762736,1.0011763203430715,-0.008126921169985007,0.012315252232377701,1.002491903135161
2024-11-28 14:44:28.711066112,0.99536666146402,-0.008418803765125639,0.8496431063339597,0.9882934041101029,-0.008956658552646685,0.008566718627419662,0.9371014523838626,1.0563287658895277,-0.008987513264303224,0.0045009264928204135,0.8955934408639536,1.0548595894312636,-0.008992810755388174,0.004347594959258913,0.8940280664299594,1.1134911084278987,-0.010062723810774202,0.029107240049449024,1.1468013513420687
2024-11-28 14:44:28.811065856,1.0889211109694514,-0.010049994431595584,0.9356892904693096,1.0819690705310763,-0.010589962725233075,0.00012123533940905037,0.9369016472336964,1.1469402691100352,-0.010567391496813398,0.0029433935859523954,0.9062552727845625,1.1455079656424654,-0.01057333189562303,0.0029065149908993502,0.9066240597603039,1.2320689420652664,-0.012130215592319778,0.025027187458391262,1.1859618607995228
2024-11-28 14:44:28.862485760,1.1393231131556036,-0.011006932360337332,0.980380807074602,1.1331268466377356,-0.011561249860330074,0.0007559101260345125,0.9950815374824138,1.1969302086120233,-0.011516505958343677,0.00041213694607465526,0.9723656820925803,1.195769878320992,-0.011527610069643715,0.0001401147545476089,0.9776558942022653,1.2912406215673793,-0.013253655574203663,0.008771257786644646,1.1509617949697108
2024-11-28 14:44:28.961402880,1.2447833415551133,-0.01308542023419464,1.0663544431013767,1.236198147857125,-0.013592654997398701,0.0023893911057047803,1.0421989567021193,1.2973234100477657,-0.013495129131919841,0.005068010971762466,1.0151195197740854,1.2954064717611173,-0.013491321455449078,0.005824765899362132,1.007469125781423,1.4008673325262386,-0.015414259555788713,0.0041672916831575115,1.1084835685232939
2024-11-28 14:44:29.061403136,1.3525222214300372,-0.015297114984356219,1.077613072211255,1.3403960529346006,-0.015731659597272265,0.003541720821029174,1.0421959532052791,1.397473221350718,-0.015551033297115883,0.007590667460536775,1.001706588789872,1.3955724895461405,-0.015547558311975834,0.00757445756403368,1.001868687346629,1.5108111034896705,-0.017671216945127462,0.0022053556218187115,1.0996665728837764
2024-11-28 14:44:29.112435200,1.4077947781942695,-0.01651686556656494,1.0833585683156604,1.3959090480745882,-0.016956716155284927,0.00024049691456469062,1.0880712320637411,1.4538163224829912,-0.016794408571082005,0.0010708050102633795,1.104341556651563,1.451813241592717,-0.016788674954096864,0.0009684310059419825,1.102335484100551,1.5691808150093598,-0.018959315303109854,0.003097908810424122,1.1440637236070341
2024-11-28 14:44:29.210967040,1.5156029355041836,-0.019068578533030504,1.0944518743375355,1.504975115366118,-0.019538202612837143,0.001258262286893994,1.107221983496989,1.5605113549188476,-0.01931977496744283,0.001113436629091376,1.0831516013787639,1.5584687755202453,-0.01931310645964449,0.0011529461998430366,1.082750618581618,1.6822933473848525,-0.02163657760620793,0.005305860672149227,1.1483010762678039
